rank,compound,z_promote_muscle_max,z_promote_muscle_median,n_signatures_dn,cell_lines_dn,protein_targets_dn,z_mimic_atrophy_max,z_mimic_atrophy_median,gmt_overlap_count,gmt_best_p,gmt_n_signatures,gmt_directions,gmt_overlapping_genes,anti_mimic_score,gmt_evidence,z_promote_norm,anti_mimic_norm,gmt_evidence_norm,reversal_score,compound_name,clinical_phase,moa,target,disease_area,indication
1,BRD-K71328603,7.8469,7.8469,1,VCAP,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,8.818276461068296,1.0546450570426453,-0.07709312585630698,4.710113122475679,BRD-K71328603,,,,,
2,Fenretinide,3.3337,3.3337,1,MCF7,RARA,5.3535,3.5191,2.0,0.16497513057288618,1.0,drug_up_reverses_query_down,",,1,A,B,D,E,F,H",0.15739356260328952,0.7825815192345986,0.8925362031567126,-1.1526891834964887,21.939330591265524,4.488327464782515,Fenretinide,Phase 3,apoptosis stimulant|retinoid receptor agonist,RARA,,
3,Wortmannin,7.8415,5.4518,2,"A549,CD34",PIK3CA|PIK3CG|PLK1,5.0364,2.878,0.0,1.0,0.0,,,0.16566165264064672,-0.0,8.808793389767951,-1.13102967861577,-0.07709312585630698,4.049669166127982,Wortmannin,Preclinical,PI3K inhibitor,PI4KA|PI4KB|PIK3CA|PIK3CD|PIK3CG|PIK3R1|PLK1|PRKDC,,
4,"ethyl 6-(2,3-dihydro-1H-indol-1-ylmethyl)-4-(3-nitrophenyl)-2-oxo-1,2,3,4-tetrahydro-5-pyrimidinecarboxylate",6.5875,6.5875,1,CD34,,3.2024,3.2024,0.0,1.0,0.0,,,0.2379592613744527,-0.0,6.606613498909773,-0.9416352232870407,-0.07709312585630698,3.005397557297513,"ethyl 6-(2,3-dihydro-1H-indol-1-ylmethyl)-4-(3-nitrophenyl)-2-oxo-1,2,3,4-tetrahydro-5-pyrimidinecarboxylate",,,,,
5,Phenoxazine,5.311,5.311,1,SNU1040,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,4.36492081096682,1.0546450570426453,-0.07709312585630698,2.483435297424942,Phenoxazine,,,,,
6,DMXAA (Vadimezan),5.2721,5.2721,1,HA1E,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,4.2966075751180295,1.0546450570426453,-0.07709312585630698,2.449278679500547,DMXAA (Vadimezan),,,,,
7,BRD-K63199400,4.3813,4.3813,1,VCAP,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,2.7322520354238797,1.0546450570426453,-0.07709312585630698,1.6671009096534721,BRD-K63199400,,,,,
8,BRD-K85822033,4.9007,4.9007,1,CD34,,2.6864,2.6864,0.0,1.0,0.0,,,0.2712673611111111,-0.0,3.6443830045719943,-0.8543796484742371,-0.07709312585630698,1.5504589825724646,BRD-K85822033,,,,,
9,MLS002264476,4.0574,4.0574,1,A375,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,2.1634433698345945,1.0546450570426453,-0.07709312585630698,1.3826965768588295,MLS002264476,,,,,
10,38194-50-2,4.0269,4.0269,1,HEK293T,AKR1B1|PTGS1|PTGS2,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,2.1098815782307874,1.0546450570426453,-0.07709312585630698,1.355915681056926,38194-50-2,,,,,
11,PRX-08066 Maleic acid,4.0232,4.0232,1,A375,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,2.1033839182657346,1.0546450570426453,-0.07709312585630698,1.3526668510743995,PRX-08066 Maleic acid,,,,,
12,BRD-K95208083,3.9416,3.9416,1,MCF7,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.9600841741716144,1.0546450570426453,-0.07709312585630698,1.2810169790273394,BRD-K95208083,,,,,
13,Thalidomide,4.5743,3.2198,3,"DV90,H1299,PC3",CRBN|CUL4A|DDB1|RBX1|TNF,3.4264,3.3591,0.0,1.0,0.0,,,0.22591722392915237,-0.0,3.0711840281955127,-0.9731811507795828,-0.07709312585630698,1.2282190436926201,Thalidomide,Launched,tumor necrosis factor production inhibitor,TNF,oncology,myeloma
14,BRD-K56370195,3.8593,3.8593,1,PC3,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.8155551430570784,1.0546450570426453,-0.07709312585630698,1.2087524634700715,BRD-K56370195,,,,,
15,MLS003370629,3.7913,3.7913,1,MCF7,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.696138689645311,1.0546450570426453,-0.07709312585630698,1.1490442367641878,MLS003370629,,,,,
16,BRD-K75381775,3.7622,3.7622,1,VCAP,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.645035472082334,1.0546450570426453,-0.07709312585630698,1.123492627982699,BRD-K75381775,,,,,
17,RO-281675,4.4724,4.4724,1,MCF7,GCK,4.4072,2.55405,0.0,1.0,0.0,,,0.1849386003846723,-0.0,2.89223496050935,-1.0805308158964981,-0.07709312585630698,1.1065396103144642,RO-281675,,,,,
18,BRD-M66254575,3.7341,3.7341,1,HT29,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.5956883788342364,1.0546450570426453,-0.07709312585630698,1.0988190813586505,BRD-M66254575,,,,,
19,5-BrdU,3.66,3.66,1,HT29,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.4655595671017076,1.0546450570426453,-0.07709312585630698,1.033754675492386,5-BrdU,,,,,
20,BRD-A35207501,3.6402,3.6402,1,U937,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.430788305667105,1.0546450570426453,-0.07709312585630698,1.0163690447750846,BRD-A35207501,,,,,
21,Oxaprozin,3.6346,3.6346,1,MCF7,PTGS1|PTGS2,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.4209540095037823,1.0546450570426453,-0.07709312585630698,1.0114518966934234,Oxaprozin,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology,osteoarthritis|rheumatoid arthritis
22,Dmbi,3.6345,3.6345,1,PHH,PDGFRB,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.420778397072295,1.0546450570426453,-0.07709312585630698,1.0113640904776797,Dmbi,,,,,
23,BRD-K56215828,3.5968,3.5968,1,A375,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.354572510401359,1.0546450570426453,-0.07709312585630698,0.9782611471422118,BRD-K56215828,,,,,
